25,HUNTER×HUNTERの円って何ですか？,内容情報型質問,オブジェクト、道具、技能の名称に関する質問
25,エヴァンゲリオンのエヴァの拘束具ってなんなんですか？,内容情報型質問,オブジェクト、道具、技能の名称に関する質問
25,こち亀の漫画で麗子、中川が乗っていたスーパーカーの車種を教えて下さい。,内容情報型質問,オブジェクト、道具、技能の名称に関する質問
25,ゴッドハンド輝の漫画の中で入院中に筋肉を鍛える記憶が曖昧なのですが、以前ゴッドハンド輝の漫画に事故で入院してプロレスの試験が近いので、早く治らないか退院できないか？と我が儘を言い、ベッドで腕立てをして傷が開いたてしまった青年の話があったと思います。その解決法で腕をテープのようなもので圧迫し筋肉疲労をはやめることで、筋肉を鍛えるのと同じような効果が出る方法があったようにおもうのですが、どういう方法、名称だったでしょうか？,内容情報型質問,オブジェクト、道具、技能の名称に関する質問
25,ジャンプのナルトにでてくる磁遁って何遁と何遁を組み合わせたものですか？,内容情報型質問,オブジェクト、道具、技能の名称に関する質問
25,ドラえもんの道具。ピッチャーの投げる球が風船に見えたり、塀の上が畳の上に見えたりする道具ってなに？,内容情報型質問,オブジェクト、道具、技能の名称に関する質問
25,何年か前、週刊少年ジャンプのこち亀に出てきた自分を把握する為のシート(例えば自分の名前を中央に書いて、そこから趣味や資格等を派生させて記入、それを分かり易く図にしたシート)の名前が知りたいのですがどなたかご存知の方いませんでしょうか？,内容情報型質問,オブジェクト、道具、技能の名称に関する質問
25,鋼の錬金術師でマース・ヒューズ中佐が使っていたナイフの名前お教えてください。,内容情報型質問,オブジェクト、道具、技能の名称に関する質問
25,最近ヘタリアが好きになってニコニコ動画などでもよく観るようになりました。そこで本多菊やアーサー、アルフレッドなどの名前を耳にするのですが、これらは国の愛称らしいですね。この国の愛称を全て教えて頂きたいです。,内容情報型質問,オブジェクト、道具、技能の名称に関する質問
25,最近リボーンを読んで面白いなーと思ったんですが、よく分からないことがあるので質問させてください。『アルコバレーノ』って何なんですか？,内容情報型質問,オブジェクト、道具、技能の名称に関する質問
24,『ＧＴＯ』に出てくる神崎麗美というキャラクタのプロフィールを知っているかたがいましたら教えてください,内容情報型質問,キャラクタの設定に関する質問
24,20、21世紀少年の最後の「ともだち」の正体である「カツマタくん」って誰ですか?,内容情報型質問,キャラクタの設定に関する質問
24,２５年前の漫画で『私立極道高校』の1巻の終わりで学帽政と対決する謎の奴って誰だったの？,内容情報型質問,キャラクタの設定に関する質問
24,MAJORの清水の性格を詳しく教えてください。,内容情報型質問,キャラクタの設定に関する質問
24,エデンの檻の最初のほうにでてくる顔がメッチャでかい犬の名前を教えてください,内容情報型質問,キャラクタの設定に関する質問
24,お正月にテレビでやっていた「ＢＪ」を見て思ったんですが、ピノコっていくつなんですか？,内容情報型質問,キャラクタの設定に関する質問
24,お正月にテレビでやっていた「ＢＪ」を見て思ったんですが、ピノコってブラックジャック氏とどういう関係なんでしょうか？,内容情報型質問,キャラクタの設定に関する質問
24,この条件に合うキャラを探しています（どれか１つでも当てはまっていれば良いです）。・萩尾望都先生の「１１人いる！」に登場するフロルのように、成長後に性別を決定できるキャラ。・清水玲子先生の「月の子」のベンジャミン、ティルト、セツのように成長後に、どちらかの性別になるキャラ。・両性具有のキャラ。・どちらの性別でもないキャラ。できるだけ多くのキャラを知りたいです。,内容情報型質問,キャラクタの設定に関する質問
24,スッパマンとは何者ですか？,内容情報型質問,キャラクタの設定に関する質問
24,ドラえもんの名前の由来って何かあるんですか？,内容情報型質問,キャラクタの設定に関する質問
